Reviewed_Status,Most_Recent_Status,Source,Net_Yield,IRR
Cancelled,Closed,M.L.S.,2.43,26.81
New,Pending, MLS,10.29,18.26
Reviewed,Always Kick,Auction.com,6.7,16.36
Closed,Pending,M L S,11.59,11.75
New,Cancelled,M L S,14.9,19.89
 Closed,Close,Internal,11.06,24.79
 Closed,Pending,Bulk,13.68,24.6
Cancelled,Close,Broker,15.19,26.07
Neww,Always Kick,Broker,19.28,13.21
 Closed,Pend, MLS,6.72,25.25
 Closed,Cancel, MLS,11.37,10.82
New,Pend,Bulk,5.01,21.28
Neww, Close ,Opendoor,2.9,11.14
New,Cancel,Broker,2.61,26.7
Reviewed,Closed,M.L.S.,8.36,26.49
 Closed,Close,M.L.S.,12.84,12.48
 Closed,Available,Bulk,12.92,27.91
Closed,Pending, MLS,2.94,26.91
Accepted Offer,Kick,Internal,5.91,14.08
Closed,Pend,M L S,19.67,22.52
Closed,Close,Opendoor,6.61,28.56
Cancelled,Pending,Opendoor,14.41,24.22
Reviewed,Pend,Bulk,19.97,26.49
Cancelled,Cancel,M L S,15.7,28.51
Closed,Pending,M L S,17.57,8.59
Reviewed,Close,Opendoor,6.01,17.51
Closed, Close ,M.L.S.,10.52,18.52
Closed,Pend,Opendoor,16.87,23.51
Cancelled,Pending,Opendoor,4.74,10.97
New,Always Kick,Opendoor,11.77,7.36
Offered,Close,Opendoor,11.26,5.35
 Closed,Close,M L S,16.33,8.21
Closed,Available,M L S,10.46,7.57
Cancelled,Pending,Broker,6.8,11.03
Closed, Close ,Broker,15.38,6.03
Accepted Offer, Close ,Opendoor,11.04,10.58
Offered,Available,Auction.com,17.13,5.99
 Closed,Available,M L S,11.44,7.6
Cancelled,Close,M.L.S.,11.77,24.18
Closed,Always Kick,Auction.com,4.78,29.53
 Closed,Pend,Auction.com,14.43,11.03
Cancelled,Pending,M.L.S.,12.63,19.95
Accepted Offer,Pending,Broker,17.51,5.98
Cancelled,Pending, MLS,4.53,18.58
 Closed,Cancel,Opendoor,12.32,15.5
Accepted Offer,Always Kick,Bulk,7.33,16.54
Cancelled, Close ,Auction.com,14.37,21.78
 Closed, Close ,Opendoor,12.83,21.69
 Closed,Pending,M L S,3.39,25.95
Neww,Close,Opendoor,16.06,11.01
New,Always Kick,Bulk,16.2,21.41
Neww,Cancelled,Auction.com,12.9,28.96
Neww,Cancel,Internal,3.63,28.92
Reviewed,Cancelled,Broker,12.81,14.93
 Closed,Pending,Auction.com,10.56,7.64
Closed,Pending,M L S,13.74,9.53
 Closed,Pend,Broker,13.19,13.86
Closed,Pend,M L S,10.01,26.09
Accepted Offer,Cancelled,Opendoor,16.78,5.77
Cancelled,Kick,M.L.S.,8.7,21.63
Neww,Always Kick, MLS,16.13,21.87
 Closed,Pending,Internal,11.76,10.45
Reviewed, Close ,Auction.com,16.66,10.48
 Closed,Pending,Auction.com,16.88,9.44
New,Kick,Broker,2.86,9.67
 Closed,Closed,Auction.com,15.53,24.66
 Closed,Available,Bulk,14.7,9.67
New,Cancel,Bulk,17.63,20.27
 Closed,Always Kick,Broker,14.24,6.68
Offered,Available,M.L.S.,11.08,28.83
Reviewed,Kick,Auction.com,12.85,8.99
Offered,Available,Broker,17.66,9.86
Offered, Close ,Opendoor,8.17,16.83
Accepted Offer,Kick,Opendoor,15.38,13.42
Reviewed,Pending,Broker,18.76,19.27
Neww,Available,M.L.S.,19.8,12.26
Offered,Pending,M.L.S.,14.6,18.69
Offered,Available, MLS,11.17,5.04
Offered,Cancelled,Internal,17.38,7.05
Offered,Available,Auction.com,16.12,11.71
 Closed,Cancel,M.L.S.,10.36,27.49
Reviewed,Pending,Opendoor,14.93,29.39
New,Always Kick, MLS,6.14,12.41
Reviewed,Cancelled,Internal,2.52,26.67
 Closed,Pend,Bulk,19.8,10.48
 Closed, Close , MLS,15.71,9.5
Neww,Closed,M.L.S.,10.94,21.04
 Closed,Closed,Opendoor,16.38,25.92
 Closed,Close,Auction.com,17.36,23.38
Offered,Cancel,Broker,13.79,19.49
Neww,Pending,Auction.com,15.64,7.57
 Closed,Pending,Auction.com,10.11,17.58
New,Close,M.L.S.,12.04,6.41
Neww,Available, MLS,2.46,16.32
Reviewed, Close ,Broker,19.93,20.78
Offered,Pend,Auction.com,12.4,8.3
Offered,Close,M L S,15.78,8.63
Neww,Pending,Auction.com,15.31,19.32
Reviewed,Cancelled,Broker,14.44,25.8
 Closed,Closed,Internal,14.35,24.06
 Closed,Always Kick,M.L.S.,6.44,8.17
Accepted Offer,Pend, MLS,4.0,22.66
 Closed, Close ,Internal,11.93,22.34
 Closed,Pending,Broker,18.31,17.54
Closed,Closed,Internal,13.49,27.03
Accepted Offer,Pending,Auction.com,19.52,28.19
Cancelled,Cancelled,Broker,12.16,18.05
 Closed,Always Kick, MLS,10.04,10.01
Cancelled,Pending,Bulk,6.3,22.23
Reviewed,Cancel,Broker,5.11,29.08
 Closed,Cancel,Auction.com,9.02,6.39
New,Always Kick,Auction.com,15.91,11.99
 Closed,Pending,Internal,9.95,28.15
Reviewed,Pending,Bulk,17.75,16.89
Neww, Close ,Auction.com,16.02,21.12
Closed,Pending,M L S,4.82,23.3
New,Pending,Bulk,3.49,10.5
 Closed,Pending,Auction.com,5.2,7.33
 Closed,Cancelled,Auction.com,12.85,17.68
Accepted Offer, Close ,M.L.S.,8.73,19.04
Reviewed, Close ,Internal,19.09,7.45
Cancelled,Kick,Auction.com,13.05,22.64
New,Pending,Internal,7.71,14.13
Offered,Cancelled,M L S,5.66,14.5
 Closed,Pending,Bulk,19.02,24.72
Offered,Cancelled,M.L.S.,18.67,17.14
Cancelled,Cancel,Opendoor,15.39,25.86
Offered,Available,Opendoor,10.68,28.98
Offered,Pending, MLS,2.67,23.81
New,Kick,Opendoor,15.43,20.12
Reviewed, Close ,Internal,3.25,12.11
Reviewed,Pending,M L S,2.99,29.96
Offered,Closed,Auction.com,19.7,27.43
Cancelled,Close,Opendoor,8.94,5.97
 Closed,Pending, MLS,5.69,27.54
Cancelled,Cancelled, MLS,14.28,22.5
Offered, Close ,Auction.com,5.12,27.69
Neww,Kick,Bulk,15.22,24.32
Cancelled,Pending,Opendoor,15.56,22.44
 Closed,Always Kick,Broker,19.75,11.48
Accepted Offer,Pend,Bulk,7.18,18.62
Cancelled,Close,Opendoor,12.27,22.49
 Closed,Pending,Bulk,19.47,25.41
Neww,Kick,M L S,3.64,10.94
 Closed,Pending,Bulk,17.2,19.26
Reviewed,Available,M L S,9.05,7.5600000000000005
Cancelled,Kick,M L S,14.93,16.21
Accepted Offer,Cancelled,Auction.com,12.77,6.73
Offered,Pending,Auction.com,8.93,9.91
Accepted Offer,Cancelled,M.L.S.,14.63,22.31
Cancelled,Cancelled,Auction.com,2.83,6.06
 Closed,Closed, MLS,8.21,13.51
Cancelled,Pend,Broker,5.77,14.93
Neww,Always Kick,M L S,12.37,14.53
Neww,Always Kick,Internal,12.94,17.41
 Closed,Pend,Broker,10.79,25.2
Closed,Cancel,Opendoor,4.25,10.4
Closed,Closed,Broker,7.57,16.95
Accepted Offer,Close,Auction.com,7.64,11.73
Cancelled,Pend,Internal,7.79,29.48
 Closed,Available,Opendoor,5.58,12.67
Cancelled,Pending,Internal,3.39,21.81
Accepted Offer,Pending,Internal,7.44,20.42
 Closed,Closed,Broker,4.38,16.1
 Closed,Pending,M.L.S.,15.82,17.54
Reviewed, Close ,Internal,3.09,21.6
Neww, Close , MLS,6.2,7.9
 Closed,Pending,Opendoor,11.52,16.19
Offered,Closed,M L S,2.59,6.34
Offered,Cancelled,M L S,4.71,19.76
 Closed,Cancelled,Opendoor,12.49,23.5
Closed,Cancelled,M L S,3.1,27.27
New,Pending,Internal,2.63,10.32
Accepted Offer,Pending,Auction.com,14.59,18.89
Offered,Pending,Broker,2.1,19.53
 Closed, Close ,Broker,7.23,26.16
 Closed,Cancel,M.L.S.,14.96,15.32
Closed,Pending,Bulk,13.8,6.6
 Closed,Cancel,Internal,4.79,12.39
 Closed,Closed,M L S,5.03,19.46
New, Close ,Auction.com,10.2,29.64
Cancelled,Cancel,M L S,14.71,15.55
Accepted Offer,Pend,M.L.S.,17.65,10.84
Offered,Cancelled, MLS,15.91,24.87
Reviewed,Kick,Auction.com,11.34,10.04
Closed, Close ,M L S,16.9,11.57
Reviewed,Closed,Auction.com,13.95,10.1
Neww,Cancel, MLS,4.62,5.4
New,Pending,Internal,4.85,18.67
Accepted Offer,Kick,M L S,7.5600000000000005,26.71
Neww,Pending,Opendoor,11.28,29.47
Offered,Pending,Opendoor,12.11,16.64
Neww, Close ,Opendoor,12.81,20.53
New, Close ,Broker,6.53,10.7
Reviewed,Available,Opendoor,12.31,23.12
Neww,Cancel,Bulk,10.02,26.46
Cancelled,Close,Auction.com,8.92,9.21
 Closed,Pending,Internal,14.69,13.56
Reviewed,Pend,Auction.com,8.47,22.45
 Closed,Pend,Opendoor,7.66,26.36
 Closed,Pending,Broker,5.24,22.25
Neww,Pend,Bulk,12.8,15.36
 Closed,Kick,Bulk,13.88,9.73
Closed,Pend,Internal,14.78,19.74
New,Closed,Auction.com,16.83,29.58
 Closed,Closed, MLS,10.63,22.23
 Closed,Always Kick,M.L.S.,17.94,20.54
 Closed,Pending,M.L.S.,18.13,28.94
Cancelled, Close ,Opendoor,4.17,17.18
Cancelled,Kick, MLS,16.8,15.58
Cancelled,Pending,Auction.com,2.09,8.34
New, Close , MLS,18.88,6.17
New,Cancel,Auction.com,15.5,9.61
 Closed,Cancelled,Internal,6.91,10.27
 Closed,Kick,Broker,18.65,16.4
Reviewed,Pending,Bulk,8.41,26.66
Closed,Always Kick, MLS,6.02,6.57
Neww,Cancelled,M L S,14.14,23.07
 Closed,Available,M L S,18.82,25.59
Neww,Pending, MLS,18.06,22.16
Closed,Pending, MLS,2.7199999999999998,15.17
New,Kick,Bulk,18.04,19.09
Offered,Always Kick,Internal,19.09,26.13
Accepted Offer,Always Kick,Internal,7.5,12.83
Cancelled,Available,Opendoor,17.42,19.46
New,Cancel,M.L.S.,14.14,28.55
Reviewed,Pend,M.L.S.,12.43,16.82
 Closed,Cancel,Auction.com,7.1,13.26
 Closed,Available,Bulk,2.1,18.24
Accepted Offer,Always Kick,Internal,16.76,14.29
Cancelled,Pending,Internal,17.53,13.12
New,Always Kick,M L S,15.07,12.61
Neww,Pend,Bulk,6.91,7.18
Reviewed,Pending,Broker,7.95,21.76
 Closed,Pending,Opendoor,10.98,5.03
Reviewed,Available, MLS,9.32,22.49
 Closed,Pend,Bulk,9.52,12.55
Offered,Always Kick,Opendoor,5.27,20.79
 Closed,Close,Broker,10.06,7.65
Reviewed,Close,Broker,9.29,7.17
 Closed,Always Kick,Opendoor,12.79,29.89
Closed,Pending,M.L.S.,3.94,15.54
Cancelled,Kick,Bulk,14.15,18.43
 Closed,Cancelled,M L S,4.62,8.46
Offered,Pending,Auction.com,11.37,9.6
Neww,Pending,Opendoor,6.85,26.99
 Closed,Closed,Auction.com,16.91,6.26
 Closed,Pend,Broker,12.3,7.64
Cancelled,Pend,Internal,13.67,14.35
Accepted Offer,Pending,M L S,15.62,23.56
Accepted Offer,Pending, MLS,4.21,28.95
Neww,Pending,Auction.com,9.28,24.03
Neww,Always Kick,M L S,7.52,13.27
 Closed,Pending,Broker,18.95,29.05
Cancelled,Pend,Opendoor,16.16,11.18
Offered,Closed,Broker,7.12,5.21
Cancelled,Pend,M.L.S.,17.61,15.69
Closed, Close ,Opendoor,9.9,27.21
Reviewed,Always Kick,Auction.com,18.06,27.66
Neww,Pending,Auction.com,13.61,14.7
 Closed,Pend, MLS,10.05,21.27
 Closed, Close ,Broker,15.94,21.3
Accepted Offer,Cancelled,M L S,4.6,6.58
Offered,Cancel,Internal,6.07,18.24
Accepted Offer,Close,Opendoor,11.28,21.78
New,Closed,M L S,4.47,15.54
New,Always Kick, MLS,19.94,9.56
Cancelled,Pending,M L S,4.54,28.1
Reviewed,Pend,M.L.S.,16.94,6.77
 Closed,Pending,Broker,5.48,13.15
Cancelled,Pending,Auction.com,13.13,18.83
Accepted Offer,Always Kick,Opendoor,2.31,25.15
Reviewed,Close,Opendoor,2.06,20.3
Cancelled, Close ,M.L.S.,4.58,21.39
Cancelled,Cancelled,Broker,15.82,7.06
New,Cancelled, MLS,11.85,29.92
Offered,Closed,Opendoor,19.6,11.64
New,Pend, MLS,16.69,26.59
New,Pending, MLS,12.07,15.09
 Closed,Cancelled, MLS,4.67,10.84
Accepted Offer,Close, MLS,6.22,8.71
 Closed,Pending,M L S,15.58,12.75
Cancelled,Pend, MLS,2.98,17.31
Neww,Pending,M.L.S.,10.55,15.69
Offered,Pending,Opendoor,6.03,13.83
Accepted Offer,Pending,Auction.com,17.02,22.99
 Closed,Available,M L S,15.95,28.5
Reviewed,Closed,Internal,8.75,29.59
 Closed,Cancel,Auction.com,19.35,5.88
 Closed,Closed,Broker,19.79,12.24
 Closed,Closed,Broker,6.84,23.35
New, Close ,Bulk,2.33,25.87
Cancelled,Pend,Internal,5.32,7.89
Reviewed,Closed,M L S,8.34,26.74
 Closed,Kick,Broker,4.44,13.33
 Closed,Pending,Auction.com,2.55,7.18
 Closed,Kick, MLS,17.85,25.33
Cancelled, Close ,Auction.com,16.16,26.92
Reviewed,Pending,Opendoor,3.1,10.48
Cancelled, Close ,Bulk,12.68,11.2
 Closed,Cancel, MLS,11.8,11.57
Reviewed,Cancelled,Internal,13.27,20.5
Closed,Pending,Auction.com,16.57,13.14
 Closed,Close,M.L.S.,2.5700000000000003,25.78
New,Cancelled, MLS,16.08,16.2
 Closed,Pend, MLS,17.66,18.01
 Closed, Close ,Bulk,6.44,17.82
New,Pend,Bulk,3.03,21.64
Accepted Offer,Pending,Opendoor,17.8,13.11
Offered,Cancelled,M L S,18.57,28.23
 Closed,Close,Opendoor,10.9,9.19
Accepted Offer,Pending,Auction.com,5.7,7.09
Closed,Pending,M.L.S.,5.51,22.43
 Closed,Pending,Opendoor,11.23,19.53
Reviewed,Pending,Internal,12.32,20.42
Reviewed,Closed,Broker,19.07,27.45
 Closed,Closed,Opendoor,19.88,14.82
 Closed,Pend,Auction.com,8.86,6.55
 Closed,Cancel, MLS,4.86,17.0
Offered,Cancelled,Opendoor,11.12,9.35
 Closed,Closed,Internal,8.58,12.51
Closed,Pending,M L S,12.85,6.41
Closed,Kick,M.L.S.,14.05,6.16
 Closed,Cancel,M L S,14.63,16.62
New,Close, MLS,12.19,24.44
 Closed,Always Kick,Internal,10.87,9.0
 Closed, Close ,M L S,5.39,26.53
Reviewed,Closed, MLS,16.79,21.84
 Closed,Cancel,Broker,15.62,14.38
 Closed,Always Kick,M.L.S.,16.81,28.43
New,Always Kick,Opendoor,18.65,26.54
New,Pend,Auction.com,16.93,14.79
Cancelled,Available,Auction.com,19.51,10.79
Closed,Cancelled,Broker,2.52,8.47
New,Pending,Broker,18.03,10.44
 Closed,Pending,Auction.com,19.94,24.96
 Closed,Cancel,Auction.com,10.44,28.68
Offered,Kick,Opendoor,4.39,11.09
Closed,Cancelled,Auction.com,12.36,7.18
Offered,Close,Broker,12.14,8.6
Closed,Cancel,M.L.S.,4.64,8.88
New,Cancel,Internal,19.22,9.75
 Closed,Always Kick,M.L.S.,18.86,13.59
 Closed,Available,Bulk,16.88,26.13
Closed,Pending,M.L.S.,18.56,22.93
Accepted Offer, Close ,Internal,2.8200000000000003,21.58
 Closed,Pending, MLS,5.4,22.84
Closed,Cancel,M.L.S.,18.73,6.7
Offered,Pending,Auction.com,6.15,20.57
Offered,Close,Opendoor,12.49,20.94
Offered,Pending, MLS,2.13,29.16
 Closed,Closed,M L S,6.9,6.27
 Closed,Cancel,M L S,5.26,9.92
New,Available,Opendoor,8.12,10.14
 Closed,Cancel, MLS,8.52,22.17
Offered,Close,Opendoor,19.76,9.25
 Closed,Pending,Broker,3.95,29.51
Accepted Offer,Cancel,Opendoor,3.89,19.53
Neww,Pending,Opendoor,8.29,26.42
Cancelled, Close ,M.L.S.,7.35,7.94
 Closed,Cancelled,Broker,9.0,17.79
New,Pending,Auction.com,7.31,15.05
New,Always Kick,M L S,15.37,8.92
Accepted Offer,Pending,M L S,5.18,12.93
Reviewed,Kick,Internal,16.03,26.11
Reviewed,Cancel,Auction.com,9.69,29.85
Closed,Kick,M L S,18.98,14.71
 Closed,Close,Opendoor,7.54,27.31
Closed,Closed,Internal,15.02,19.9
Cancelled,Pend, MLS,19.15,11.21
Offered, Close ,Broker,7.68,5.8100000000000005
New,Pending,Opendoor,6.06,21.71
Reviewed,Pending,M.L.S.,7.71,28.41
 Closed,Pend,Opendoor,4.77,14.39
 Closed,Always Kick,Opendoor,9.9,13.27
Offered,Closed,Auction.com,8.62,15.92
Neww,Available,Internal,17.97,15.19
Reviewed,Pend,Auction.com,18.5,22.65
Offered,Cancelled,Opendoor,14.06,8.97
New,Kick,Auction.com,10.81,22.3
New,Pending,Opendoor,14.33,18.63
New,Kick,Internal,5.65,22.87
New,Always Kick,Auction.com,17.17,12.74
Neww,Pending,M L S,16.48,16.37
 Closed,Close,Internal,14.12,6.39
 Closed, Close , MLS,4.36,27.32
 Closed,Close,Opendoor,19.04,20.62
 Closed,Pending, MLS,6.28,21.51
 Closed,Available,M L S,13.6,5.88
 Closed,Close,Auction.com,9.61,19.09
Offered,Kick,M L S,18.76,8.85
Reviewed,Pending,Internal,3.17,19.47
Neww,Close,Bulk,13.12,10.56
 Closed,Pending,Bulk,16.13,12.05
Offered,Always Kick,Auction.com,5.78,29.89
Closed,Closed,M.L.S.,16.07,14.76
Neww, Close ,Auction.com,11.28,23.1
Cancelled,Pending,Bulk,9.29,22.84
 Closed, Close ,Opendoor,19.37,29.69
Accepted Offer,Kick,Internal,14.45,6.94
Neww,Always Kick,M L S,9.42,24.18
Accepted Offer,Closed,Internal,7.12,23.06
Cancelled,Cancel,Internal,16.6,29.62
Neww,Always Kick,M L S,2.6,22.0
Closed, Close , MLS,7.73,29.9
 Closed,Pending,Bulk,19.99,16.33
Closed,Pending,Broker,3.39,5.93
Neww,Kick,M L S,14.66,27.86
Closed, Close , MLS,4.28,26.83
Offered,Close,Auction.com,16.33,22.38
 Closed,Closed,Internal,4.68,13.48
 Closed,Kick,Bulk,12.09,6.41
Closed,Pending,M.L.S.,17.88,12.92
 Closed,Pend, MLS,4.04,13.23
Offered,Always Kick,M L S,7.5,7.24
Accepted Offer,Close,Broker,10.59,5.63
Offered,Available,Bulk,14.15,5.51
Neww,Pend,Auction.com,11.45,6.14
Neww,Pending,Broker,10.36,7.62
 Closed,Pending,Bulk,3.71,25.0
Neww,Cancelled,M.L.S.,16.14,7.98
 Closed,Closed,M L S,3.34,21.01
New,Cancel,M L S,10.29,15.85
Reviewed,Pending,Auction.com,18.04,27.7
Accepted Offer,Cancelled,Opendoor,2.55,5.04
 Closed,Pending,M.L.S.,8.66,6.46
 Closed, Close , MLS,8.1,13.84
Offered,Pend,Opendoor,2.75,13.09
Accepted Offer,Close,M L S,16.29,26.22
Cancelled,Pend, MLS,15.85,29.4
Closed,Always Kick,Auction.com,8.1,9.51
Closed,Pending,M.L.S.,3.02,10.37
Closed,Pending, MLS,9.96,11.37
Neww,Kick,Opendoor,15.22,12.06
Cancelled,Pending, MLS,12.48,29.44
Neww,Pending, MLS,7.8,10.58
 Closed,Closed,Auction.com,3.18,18.16
 Closed,Pending,Bulk,15.07,24.22
 Closed,Cancelled,M L S,15.97,8.49
 Closed,Pending,Internal,13.96,10.72
 Closed,Pending,Broker,17.94,21.7
Neww,Pending,Auction.com,8.08,12.78
New,Cancelled,Auction.com,4.5,12.35
Offered,Pending,Auction.com,4.98,11.86
Reviewed,Pend,Opendoor,13.61,28.99
 Closed,Pending,M.L.S.,19.71,6.32
 Closed,Pend,Opendoor,10.04,26.03
New,Cancelled,Opendoor,4.58,27.0
 Closed,Close,Auction.com,3.08,19.27
Offered, Close , MLS,10.52,16.27
Offered,Cancel,M L S,16.2,11.94
New,Always Kick,M L S,13.61,22.7
Offered,Pending,M L S,2.31,17.02
Cancelled,Kick,Auction.com,2.33,9.9
 Closed,Close,M.L.S.,7.46,23.12
 Closed,Pending,Broker,16.55,21.32
Cancelled,Pend,M.L.S.,6.43,26.54
Offered,Kick,M.L.S.,13.2,25.84
New,Cancelled,M L S,3.23,19.97
 Closed,Pending,M L S,9.1,11.44
Accepted Offer,Pending,Broker,5.16,16.05
Offered,Close,M.L.S.,17.16,16.78
 Closed,Pending,Broker,3.64,29.17
Reviewed,Closed,Opendoor,8.34,21.97
New,Always Kick,M L S,5.51,6.44
Accepted Offer,Pending,Auction.com,2.1,17.63
New,Pending,Broker,7.8100000000000005,8.54
Closed, Close ,M.L.S.,15.85,15.99
 Closed,Kick,Auction.com,6.38,24.38
 Closed,Cancelled,M.L.S.,4.18,9.77
Reviewed,Pending,Opendoor,10.62,18.21
Neww,Pend,Internal,13.28,29.32
Accepted Offer,Pending,M.L.S.,6.32,17.68
 Closed,Pend,Auction.com,7.64,6.47
Closed,Kick,Auction.com,17.26,9.91
Reviewed,Cancel, MLS,6.48,18.74
Cancelled,Pending,M.L.S.,4.42,5.62
Closed,Pending,Opendoor,10.38,23.3
Reviewed,Pending,M L S,15.71,5.29
Offered,Pend,Bulk,12.76,11.67
New,Kick,Opendoor,16.03,18.87
 Closed,Closed,Auction.com,4.65,8.58
Accepted Offer,Closed, MLS,12.41,19.02
Accepted Offer,Available, MLS,11.01,12.51
 Closed,Pending,Bulk,9.47,9.14
Neww,Closed,M.L.S.,6.48,6.76
Accepted Offer,Pending,M L S,12.62,22.94
 Closed,Cancel,Bulk,2.27,21.44
 Closed,Pend,Bulk,19.07,16.38
Cancelled,Always Kick,Auction.com,18.15,27.41
Accepted Offer,Cancel,M L S,4.53,7.04
Offered, Close ,Internal,10.76,5.41
Cancelled,Kick, MLS,16.31,29.87
Offered,Pending,Bulk,13.38,7.71
 Closed,Cancelled,Auction.com,16.63,17.69
Neww,Pend,Auction.com,18.58,27.12
Closed,Pending,M L S,18.84,24.31
 Closed,Close,Internal,13.64,22.75
 Closed,Closed,M.L.S.,8.84,16.93
New, Close ,Broker,18.69,13.19
Reviewed,Cancelled,Opendoor,14.79,5.67
 Closed,Pending, MLS,14.15,12.03
Reviewed,Pending,Auction.com,17.56,6.11
Reviewed,Always Kick,M L S,14.25,7.36
 Closed,Pend,Internal,13.18,7.99
 Closed,Cancelled,Broker,11.61,19.51
 Closed,Available,Broker,2.85,9.24
Offered, Close ,Internal,14.39,20.1
Cancelled, Close ,M L S,3.04,10.03
 Closed,Pending,Broker,9.02,23.75
Reviewed,Close,M L S,15.41,10.98
Reviewed,Always Kick,Internal,14.85,23.38
Neww,Available,Bulk,4.08,25.12
Offered,Pending,M.L.S.,12.23,19.96
 Closed,Closed,Broker,17.27,5.18
Reviewed,Cancelled,Broker,6.33,27.65
Neww,Pending,Auction.com,16.72,6.38
 Closed,Always Kick, MLS,2.88,13.36
Reviewed,Pending, MLS,13.58,10.38
 Closed,Pending,M L S,2.39,18.03
 Closed,Kick,Bulk,11.43,5.58
Closed,Cancel,Auction.com,7.29,11.85
Reviewed,Cancel,M.L.S.,12.76,14.64
 Closed,Always Kick,Broker,3.34,27.41
 Closed,Cancel,Auction.com,3.14,22.8
Accepted Offer,Pending,Bulk,6.23,25.13
Offered,Always Kick,Bulk,14.58,16.88
 Closed,Pending,Internal,7.59,5.33
Reviewed,Available,M.L.S.,3.59,21.63
 Closed,Available,M L S,19.24,29.69
 Closed,Cancelled, MLS,8.96,24.88
Offered,Pending,M.L.S.,7.5600000000000005,16.54
Cancelled,Pending,Auction.com,12.37,14.72
Cancelled,Pending,Bulk,6.07,15.57
Reviewed, Close ,Opendoor,17.57,15.27
Offered,Available,Opendoor,7.78,26.67
 Closed,Cancel,Broker,6.4,14.45
Offered,Pending,M.L.S.,19.34,21.55
Closed,Pending,M.L.S.,19.23,27.97
Cancelled,Kick,Bulk,3.9699999999999998,10.79
Offered,Kick,M.L.S.,15.02,25.34
New,Always Kick,Auction.com,19.52,26.67
Neww,Close,Bulk,19.16,25.32
 Closed,Closed,M.L.S.,17.63,25.34
 Closed,Pend,M L S,11.34,12.14
Reviewed, Close ,Opendoor,19.0,8.48
Closed,Cancelled,M.L.S.,18.17,20.22
 Closed, Close ,Auction.com,4.82,8.91
New,Kick, MLS,14.44,29.01
Neww,Close,Opendoor,7.91,21.62
 Closed,Always Kick,Bulk,9.87,26.92
Closed,Closed,Opendoor,3.51,24.83
 Closed,Always Kick,M.L.S.,10.61,6.91
Reviewed,Pending,Internal,3.2,6.1
Accepted Offer,Cancel,Opendoor,8.37,28.2
Cancelled,Pending,Internal,10.91,22.99
 Closed,Available,Bulk,10.95,7.8100000000000005
New,Pending,M.L.S.,10.63,6.33
 Closed,Cancelled,M.L.S.,4.48,9.58
Cancelled,Kick,Opendoor,6.74,6.4
Offered,Always Kick,Internal,18.82,11.9
 Closed,Cancelled,Bulk,2.29,25.15
Offered,Cancel,M L S,3.09,7.29
 Closed,Cancelled,Broker,14.32,6.87
Reviewed,Cancel, MLS,14.48,10.69
 Closed,Kick, MLS,16.13,21.7
Closed,Pending,Bulk,2.05,13.09
 Closed,Close,M L S,15.47,10.71
Closed,Close,Bulk,8.68,19.57
 Closed,Cancel,M.L.S.,7.09,13.2
Neww,Pending,Auction.com,19.99,24.62
 Closed,Closed,Broker,10.58,11.75
Neww,Cancelled,Internal,3.13,19.07
Accepted Offer, Close ,M L S,15.33,22.09
 Closed,Close,Bulk,6.11,7.65
 Closed,Pending,Broker,11.36,28.74
 Closed,Pending,Auction.com,17.69,10.42
 Closed,Pend,M.L.S.,16.27,10.04
Closed, Close , MLS,18.68,15.36
Closed,Always Kick,Bulk,7.08,22.41
Closed,Closed,M L S,19.22,15.02
Accepted Offer,Cancelled, MLS,14.23,6.19
Accepted Offer,Cancel,Broker,2.18,9.59
Cancelled,Kick,Broker,10.7,25.03
Cancelled,Close,Opendoor,14.37,28.22
Neww,Cancel,Auction.com,16.42,11.36
Offered,Always Kick,M L S,13.25,21.93
Neww,Cancelled,Broker,5.6,13.15
Offered,Always Kick,M L S,11.72,17.02
Offered,Cancel,Auction.com,5.82,28.31
New,Pending,Internal,2.3,7.88
Accepted Offer,Always Kick,M L S,2.4,25.21
 Closed,Cancelled,M L S,3.02,13.85
 Closed, Close , MLS,15.92,16.49
Cancelled,Always Kick, MLS,17.11,24.4
Reviewed,Cancel, MLS,12.77,6.87
Reviewed,Pending,Opendoor,11.83,7.71
Neww,Pending,Auction.com,18.82,24.63
Neww,Available,Bulk,10.97,18.78
 Closed,Cancel, MLS,6.68,23.14
 Closed,Always Kick,M.L.S.,8.81,14.13
Neww,Always Kick,Auction.com,13.42,5.46
New,Close,Auction.com,8.94,11.62
Reviewed,Pend,Auction.com,16.33,10.38
Reviewed,Pend,M.L.S.,11.38,7.22
Offered,Closed,Bulk,10.22,10.99
Accepted Offer, Close ,Broker,13.02,24.94
New, Close ,Broker,6.39,15.64
Cancelled,Pending,Bulk,7.21,5.95
 Closed,Available, MLS,6.4,13.79
Cancelled,Cancel,M.L.S.,2.55,19.79
Cancelled,Pending, MLS,3.66,20.93
Accepted Offer,Pending, MLS,17.9,13.97
Neww,Available,Internal,9.84,15.0
Cancelled,Pending,Bulk,3.8,12.83
Reviewed,Cancelled,M.L.S.,2.63,26.04
 Closed,Close,M.L.S.,12.69,15.03
 Closed, Close , MLS,13.5,9.36
Neww,Cancel,M.L.S.,14.64,21.16
Offered, Close ,Auction.com,6.24,14.62
Offered,Pending,Auction.com,19.02,13.06
New,Available,Internal,6.01,29.07
Cancelled,Pend,Broker,15.45,29.03
Accepted Offer,Cancelled,Bulk,7.45,9.37
New,Closed,Auction.com,4.99,16.91
