Property_Title,Address,Market,Street_Address,City,State,Zip,Property_Type,Tax_Rate,SQFT_Basement,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,Layout,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"565 King Centers Suite 755, North Benjamin, IN 22355","565 King Centers Suite 755, North Benjamin, IN 22355",Tampa,565 King Centers Suite 755,North Benjamin,IN,22355,SFR,3.48,1089,2020,2237,6229,Street,1,2,Ranch,4,41.989626,-116.904581,Parks,6.93
"360 Alexander Lock Apt. 917, Mcbridetown, VA 63823","360 Alexander Lock Apt. 917, Mcbridetown, VA 63823",Florida,360 Alexander Lock Apt. 917,Mcbridetown,VA,63823,Single Family Home,1.21,1093,2001,2514,5610,Street,1,1,Colonial,5,41.20589,-109.306896,Field,3.42
"707 Nancy Corners, Michaelmouth, HI 58847","707 Nancy Corners, Michaelmouth, HI 58847",Chicgo,707 Nancy Corners,Michaelmouth,HI,58847,SFR,2.79,1510,2024,1164,5091,Street,3,4,Ranch,5,36.61879,-116.459218,Bridge,7.57
"8296 Jonathan Hill Suite 041, Port Teresa, TN 43954","8296 Jonathan Hill Suite 041, Port Teresa, TN 43954",Tampa,8296 Jonathan Hill Suite 041,Port Teresa,TN,43954,SFR,2.96,598,1929,1962,8575,Street,5,2,Split,1,41.461243,-73.618127,Plaza,7.24
"2800 Rodriguez Curve, Chaneyhaven, NV 78003","2800 Rodriguez Curve, Chaneyhaven, NV 78003",Chicgo,2800 Rodriguez Curve,Chaneyhaven,NV,78003,Single Family Home,1.6400000000000001,557,1961,2157,6679,Garage,5,1,Ranch,1,37.7791,-81.452433,Alley,9.87
"675 Miranda Mountain Apt. 926, North Monique, PW 55459","675 Miranda Mountain Apt. 926, North Monique, PW 55459",Tampa,675 Miranda Mountain Apt. 926,North Monique,PW,55459,SFR,3.21,1971,1936,588,6328,Driveway,4,4,Ranch,5,38.373983,-98.36648,Islands,8.55
"5513 Timothy Haven, Wileyside, MA 71158","5513 Timothy Haven, Wileyside, MA 71158",Chicgo,5513 Timothy Haven,Wileyside,MA,71158,SFR,2.19,1254,1981,2602,9889,Street,4,3,Ranch,3,37.08119,-74.272463,Isle,5.85
"129 Christopher Dam Suite 464, North Kimberlyland, RI 18323","129 Christopher Dam Suite 464, North Kimberlyland, RI 18323", Closed,129 Christopher Dam Suite 464,North Kimberlyland,RI,18323,Duplex,2.59,583,1926,2236,4775,Street,5,2,Ranch,3,38.585267,-96.854789,Points,8.89
"851 Brown Mills Apt. 767, Port Sheilabury, IA 04847","851 Brown Mills Apt. 767, Port Sheilabury, IA 04847",Atlanta,851 Brown Mills Apt. 767,Port Sheilabury,IA,4847,SFR,1.4100000000000001,1182,1945,2652,5458,Driveway,4,2,Ranch,3,33.210203,-78.400906,Run,7.84
"4761 Scott Alley Suite 872, South Katherinefurt, ND 76936","4761 Scott Alley Suite 872, South Katherinefurt, ND 76936",Dallas,4761 Scott Alley Suite 872,South Katherinefurt,ND,76936,Townhouse,2.44,772,1975,2220,5777,Street,3,4,Ranch,1,40.346535,-112.893558,Corners,5.67
"85415 Lozano Port, West Christie, AL 84067","85415 Lozano Port, West Christie, AL 84067",Chicgo,85415 Lozano Port,West Christie,AL,84067,Single Family Home,3.36,1558,1946,3271,5597,Driveway,3,2,Split,5,37.784578,-107.889919,Brooks,4.02
"709 Bell Mall, Alexashire, VA 51413","709 Bell Mall, Alexashire, VA 51413",Dallas,709 Bell Mall,Alexashire,VA,51413,Condo,1.23,174,1924,2664,9475,Garage,5,2,Ranch,5,41.423314,-98.73648,Union,5.24
"907 Michael Turnpike, New Angela, NM 25088","907 Michael Turnpike, New Angela, NM 25088",Florida,907 Michael Turnpike,New Angela,NM,25088,SFR,2.42,1869,2010,2348,7875,Garage,2,2,Split,4,41.978511,-83.832757,Underpass,8.22
"08662 Wu Inlet Apt. 443, New Derrick, PW 34890","08662 Wu Inlet Apt. 443, New Derrick, PW 34890",Chicgo,08662 Wu Inlet Apt. 443,New Derrick,PW,34890,SFR,2.18,1127,1923,972,4294,Street,4,2,Ranch,5,36.529624,-112.574115,Parkways,8.41
"361 Beth Station Suite 604, Rebeccafurt, ND 99027","361 Beth Station Suite 604, Rebeccafurt, ND 99027",Dallas,361 Beth Station Suite 604,Rebeccafurt,ND,99027,Condo,2.66,1942,1928,1645,8222,Street,4,1,Split,5,41.444523,-104.28,Flat,7.5600000000000005
"359 Smith Ways, Harrischester, MH 15838","359 Smith Ways, Harrischester, MH 15838",Atlanta,359 Smith Ways,Harrischester,MH,15838,Townhouse,2.68,164,1967,1772,8337,Street,6,1,Ranch,3,36.362547,-93.48737,Landing,6.67
"27235 Stewart Dale, Whitestad, GA 24961","27235 Stewart Dale, Whitestad, GA 24961",Dalas,27235 Stewart Dale,Whitestad,GA,24961,Duplex,3.46,1304,2003,2080,4819,Garage,4,1,Ranch,3,34.771023,-106.913345,Keys,3.49
"57969 Alison Forges, East Emily, NH 30765","57969 Alison Forges, East Emily, NH 30765",Dallas,57969 Alison Forges,East Emily,NH,30765,Duplex,2.63,304,1997,1613,8901,Driveway,1,1,Ranch,5,40.797037,-100.121888,Point,4.13
"9699 Greer Squares, Lewisberg, NJ 27420","9699 Greer Squares, Lewisberg, NJ 27420",Dallas,9699 Greer Squares,Lewisberg,NJ,27420,Condo,2.86,1412,1925,1933,4463,Driveway,3,1,Ranch,3,39.555333,-89.445345,Summit,3.7800000000000002
"86211 Cynthia Forks, North Rebecca, AS 49157","86211 Cynthia Forks, North Rebecca, AS 49157",Dallas,86211 Cynthia Forks,North Rebecca,AS,49157,SFR,3.17,1809,1985,2689,7821,Driveway,6,3,Ranch,1,39.844699,-84.467461,Union,5.04
"700 Mary Court Suite 841, Williamtown, CT 14023","700 Mary Court Suite 841, Williamtown, CT 14023",Dalas,700 Mary Court Suite 841,Williamtown,CT,14023,Townhouse,1.48,951,1978,1926,6516,Street,6,3,Ranch,3,40.477105,-79.016257,Light,6.24
"657 Alex Wells, West Amanda, IL 99419","657 Alex Wells, West Amanda, IL 99419", Closed,657 Alex Wells,West Amanda,IL,99419,Duplex,1.23,643,1976,1913,4391,Street,2,3,Colonial,5,35.628658,-78.006603,Wall,4.16
"9713 Natalie Pass Apt. 269, Petersside, WI 42190","9713 Natalie Pass Apt. 269, Petersside, WI 42190",Dalas,9713 Natalie Pass Apt. 269,Petersside,WI,42190,Condo,2.04,1465,1964,761,7356,Garage,2,4,Colonial,4,39.082557,-96.206057,Causeway,3.16
"7715 Wood Via Suite 481, South Melissa, RI 88727","7715 Wood Via Suite 481, South Melissa, RI 88727",Atlanta,7715 Wood Via Suite 481,South Melissa,RI,88727,Condo,1.31,345,2003,1103,8959,Street,3,4,Ranch,5,37.651821,-109.318044,Orchard,7.57
"738 Jeffrey Wall, East Christinemouth, NE 87467","738 Jeffrey Wall, East Christinemouth, NE 87467",Dallas,738 Jeffrey Wall,East Christinemouth,NE,87467,Single Family Home,1.1,1836,2009,1236,8150,Driveway,1,2,Ranch,4,38.031683,-101.603625,Garden,5.54
"8975 Cooper Crescent Suite 984, West Tinaland, VI 41061","8975 Cooper Crescent Suite 984, West Tinaland, VI 41061",Atlanta,8975 Cooper Crescent Suite 984,West Tinaland,VI,41061,Condo,1.18,902,1992,2622,9127,Street,5,1,Split,3,39.488761,-94.58769,Loop,7.74
"232 Riddle Avenue Apt. 613, New Jenniferfurt, NE 37065","232 Riddle Avenue Apt. 613, New Jenniferfurt, NE 37065",Florida,232 Riddle Avenue Apt. 613,New Jenniferfurt,NE,37065,Single Family Home,2.25,1273,1971,3041,6189,Street,2,2,Ranch,4,38.780639,-116.093003,Garden,5.6
"526 Wade Pines, Benjaminmouth, MA 55695","526 Wade Pines, Benjaminmouth, MA 55695",Chicago,526 Wade Pines,Benjaminmouth,MA,55695,Condo,1.82,1937,1959,2938,5846,Street,2,3,Colonial,2,35.037613,-84.473308,Ports,3.3
"97732 Wu Plains, New Raymond, VI 79694","97732 Wu Plains, New Raymond, VI 79694",Chicgo,97732 Wu Plains,New Raymond,VI,79694,Condo,2.08,1909,1963,1469,6698,Street,4,1,Ranch,2,34.238552,-101.324207,Hollow,9.02
"73657 Mcbride Cape, Jamesmouth, OR 17997","73657 Mcbride Cape, Jamesmouth, OR 17997",Atlanta,73657 Mcbride Cape,Jamesmouth,OR,17997,Condo,1.75,441,2007,1116,7483,Driveway,3,4,Colonial,2,36.075575,-95.264007,Estates,3.8200000000000003
"90427 Andersen Ports, West Thomas, NM 73446","90427 Andersen Ports, West Thomas, NM 73446", Closed,90427 Andersen Ports,West Thomas,NM,73446,Condo,1.97,1669,1940,2366,4830,Street,6,4,Colonial,5,40.648759,-87.900845,Circle,5.78
"5641 Mary Ramp Apt. 858, Garrettborough, WV 63022","5641 Mary Ramp Apt. 858, Garrettborough, WV 63022",Chicago,5641 Mary Ramp Apt. 858,Garrettborough,WV,63022,Duplex,1.18,1945,1979,1939,9638,Street,2,1,Ranch,3,40.926303,-110.493894,Square,9.27
"08877 Martinez View, Lake Derrick, PW 94296","08877 Martinez View, Lake Derrick, PW 94296",Florida,08877 Martinez View,Lake Derrick,PW,94296,Townhouse,1.09,1164,2002,1677,7419,Street,4,2,Ranch,4,41.227727,-76.962869,Views,5.06
"40736 Brown Garden, Coxchester, MA 05466","40736 Brown Garden, Coxchester, MA 05466",Dallas,40736 Brown Garden,Coxchester,MA,5466,Duplex,1.18,1309,1969,3382,3502,Driveway,4,4,Ranch,4,37.24632,-86.297322,Rest,6.78
"286 Johnson Viaduct, Derekville, AZ 06922","286 Johnson Viaduct, Derekville, AZ 06922",Tampa,286 Johnson Viaduct,Derekville,AZ,6922,Condo,1.02,1412,2001,3022,4943,Driveway,4,2,Split,2,40.976093,-78.278201,Falls,4.83
"863 Gregg Bridge, Johnville, SD 29678","863 Gregg Bridge, Johnville, SD 29678", Closed,863 Gregg Bridge,Johnville,SD,29678,Condo,3.09,959,1962,725,3754,Garage,1,3,Ranch,5,40.043274,-91.345311,Field,7.52
"2553 Robert Ranch Suite 354, New Rachel, CT 64403","2553 Robert Ranch Suite 354, New Rachel, CT 64403",Chicgo,2553 Robert Ranch Suite 354,New Rachel,CT,64403,SFR,3.48,1913,1973,1123,5338,Street,3,3,Ranch,3,38.033266,-80.721346,Crest,8.48
"1000 Rich Plain, North Stacy, KY 12157","1000 Rich Plain, North Stacy, KY 12157",Atlanta,1000 Rich Plain,North Stacy,KY,12157,SFR,3.34,388,1974,1631,4930,Driveway,4,1,Ranch,2,37.539901,-117.780939,Villages,5.91
"36363 Vega Burg Apt. 671, North Christineton, UT 30787","36363 Vega Burg Apt. 671, North Christineton, UT 30787",Dalas,36363 Vega Burg Apt. 671,North Christineton,UT,30787,Townhouse,2.7,1124,1926,605,8402,Street,5,3,Ranch,4,33.422668,-82.05806,Brooks,4.57
"6136 Sherry Shoal, Juliashire, GU 29334","6136 Sherry Shoal, Juliashire, GU 29334",Dallas,6136 Sherry Shoal,Juliashire,GU,29334,Condo,2.87,1717,2019,1900,5469,Driveway,3,4,Colonial,1,36.258077,-78.014388,Prairie,3.95
"323 Victor Springs Suite 988, Wernermouth, AS 06929","323 Victor Springs Suite 988, Wernermouth, AS 06929",Tampa,323 Victor Springs Suite 988,Wernermouth,AS,6929,Single Family Home,3.38,1360,1920,2929,8493,Street,2,1,Ranch,1,37.560303,-102.368614,Mountains,6.61
"403 Patricia Valleys Apt. 203, Johnsonbury, WA 07067","403 Patricia Valleys Apt. 203, Johnsonbury, WA 07067",Florida,403 Patricia Valleys Apt. 203,Johnsonbury,WA,7067,Condo,2.99,1370,1920,1178,7518,Street,3,1,Ranch,1,37.896418,-112.597356,Corners,3.8
"87975 Matthews Wells, New Stephanieberg, WY 21570","87975 Matthews Wells, New Stephanieberg, WY 21570",Dalas,87975 Matthews Wells,New Stephanieberg,WY,21570,Single Family Home,1.87,1644,1941,3130,9889,Street,4,3,Ranch,1,33.491546,-109.404332,Lights,6.03
"37762 Alexander Meadow Apt. 029, Hatfieldton, IA 39757","37762 Alexander Meadow Apt. 029, Hatfieldton, IA 39757",Tampa,37762 Alexander Meadow Apt. 029,Hatfieldton,IA,39757,Single Family Home,1.71,1086,1998,748,7577,Driveway,5,1,Ranch,5,36.010464,-114.289487,Causeway,9.08
"57654 Davis Plaza, East Brendaside, WV 80021","57654 Davis Plaza, East Brendaside, WV 80021",Atlanta,57654 Davis Plaza,East Brendaside,WV,80021,Single Family Home,3.04,1876,1985,1204,8679,Street,6,2,Ranch,5,39.18404,-116.037148,Views,7.62
"14862 Delgado Inlet, New Becky, MH 85291","14862 Delgado Inlet, New Becky, MH 85291",Atlanta,14862 Delgado Inlet,New Becky,MH,85291,SFR,1.11,170,1941,1358,4545,Driveway,6,2,Ranch,4,37.59695,-113.707767,Gardens,4.76
"863 Bernard Mountains Apt. 230, Port Gregoryberg, AK 96608","863 Bernard Mountains Apt. 230, Port Gregoryberg, AK 96608",Florida,863 Bernard Mountains Apt. 230,Port Gregoryberg,AK,96608,SFR,1.03,1910,1922,2233,5062,Street,1,2,Ranch,5,36.526217,-106.972203,Run,6.16
"64454 Palmer Corner, North Matthew, MN 50986","64454 Palmer Corner, North Matthew, MN 50986",Dallas,64454 Palmer Corner,North Matthew,MN,50986,Single Family Home,2.05,1894,1940,1815,9267,Street,3,3,Split,4,34.98153,-100.200924,Lodge,9.73
"918 Stephanie Parks, Estesstad, ME 57997","918 Stephanie Parks, Estesstad, ME 57997",Chicgo,918 Stephanie Parks,Estesstad,ME,57997,Duplex,2.11,1315,1967,3112,3635,Street,2,1,Ranch,1,34.885695,-113.00291,Garden,9.49
"3908 Madison Trace Apt. 592, Smithfort, AR 31351","3908 Madison Trace Apt. 592, Smithfort, AR 31351",Chicgo,3908 Madison Trace Apt. 592,Smithfort,AR,31351,SFR,3.01,527,1947,3034,4136,Street,5,3,Split,1,36.334784,-82.819246,Vista,3.56
"474 Beard Village, West Christine, ND 15547","474 Beard Village, West Christine, ND 15547",Chicgo,474 Beard Village,West Christine,ND,15547,Townhouse,2.61,1624,1938,3031,8109,Driveway,4,4,Colonial,2,36.983124,-75.719452,Harbors,7.99
"7997 Angela Row, South Jacquelineton, NV 19355","7997 Angela Row, South Jacquelineton, NV 19355",Tampa,7997 Angela Row,South Jacquelineton,NV,19355,SFR,3.14,1540,1931,3203,9771,Street,5,1,Ranch,3,33.271561,-79.216758,Pass,4.0
"80788 Michael Run, West Patricia, ME 33627","80788 Michael Run, West Patricia, ME 33627",Chicago,80788 Michael Run,West Patricia,ME,33627,Townhouse,2.02,687,2017,2187,3735,Driveway,6,2,Colonial,3,37.567641,-91.202076,Common,5.5
"41427 Daniel Cliff Suite 155, Travisside, MH 53424","41427 Daniel Cliff Suite 155, Travisside, MH 53424",Atlanta,41427 Daniel Cliff Suite 155,Travisside,MH,53424,Townhouse,1.58,685,1946,3491,4481,Garage,3,4,Ranch,5,40.203189,-109.538612,Cove,3.35
"28056 Phillip Key Apt. 538, Ruiztown, NM 18192","28056 Phillip Key Apt. 538, Ruiztown, NM 18192",Florida,28056 Phillip Key Apt. 538,Ruiztown,NM,18192,Single Family Home,3.35,366,2022,3328,7080,Street,5,4,Ranch,5,40.705172,-89.791466,Lights,4.4
"49719 Young Club Apt. 717, Mooneychester, MA 85336","49719 Young Club Apt. 717, Mooneychester, MA 85336",Chicgo,49719 Young Club Apt. 717,Mooneychester,MA,85336,Townhouse,2.12,1796,1931,2716,7877,Driveway,4,3,Ranch,2,36.825031,-114.302813,Terrace,6.58
"521 King Way, Davidhaven, RI 34817","521 King Way, Davidhaven, RI 34817",Chicago,521 King Way,Davidhaven,RI,34817,SFR,1.09,1520,2005,2214,5284,Street,5,3,Colonial,3,41.316553,-117.608654,Ramp,6.04
"3107 Wesley Cove, Alexandriaside, WI 93525","3107 Wesley Cove, Alexandriaside, WI 93525",Dalas,3107 Wesley Cove,Alexandriaside,WI,93525,Single Family Home,1.1,307,1966,684,7979,Street,4,3,Colonial,5,40.106022,-104.509967,Neck,7.49
"90592 Darrell Village Suite 241, Lake Erinstad, NY 26544","90592 Darrell Village Suite 241, Lake Erinstad, NY 26544",Dallas,90592 Darrell Village Suite 241,Lake Erinstad,NY,26544,Single Family Home,1.1400000000000001,1822,1944,1974,4362,Garage,6,1,Ranch,2,38.498182,-115.771306,Stream,9.2
"836 Brandon Harbor, East Patricia, NV 91710","836 Brandon Harbor, East Patricia, NV 91710",Florida,836 Brandon Harbor,East Patricia,NV,91710,Single Family Home,2.34,1982,1961,2970,8139,Street,1,2,Split,4,33.873541,-74.889556,Mission,8.59
"9592 King Vista Apt. 565, Port Shawnville, AZ 84963","9592 King Vista Apt. 565, Port Shawnville, AZ 84963",Chicago,9592 King Vista Apt. 565,Port Shawnville,AZ,84963,Duplex,1.26,139,1964,1494,3943,Street,2,4,Split,4,34.230343,-75.945503,Forge,6.01
"444 Suarez Mountain, Haleytown, PR 35753","444 Suarez Mountain, Haleytown, PR 35753",Chicgo,444 Suarez Mountain,Haleytown,PR,35753,Condo,1.19,612,1972,3217,3817,Street,1,2,Ranch,5,37.941042,-107.448558,Fork,7.78
"72787 Deborah Street Suite 855, Jonathanhaven, NJ 90121","72787 Deborah Street Suite 855, Jonathanhaven, NJ 90121",Chicago,72787 Deborah Street Suite 855,Jonathanhaven,NJ,90121,Townhouse,3.46,1255,1994,1324,6071,Driveway,5,2,Split,2,40.183408,-93.452257,Island,8.51
"07535 Thomas Circles Apt. 876, Jasonville, OH 26936","07535 Thomas Circles Apt. 876, Jasonville, OH 26936",Atlanta,07535 Thomas Circles Apt. 876,Jasonville,OH,26936,Townhouse,3.47,388,1948,1822,9035,Street,2,3,Ranch,2,37.865152,-94.492814,Island,7.48
"32900 Ramsey Orchard Apt. 026, Perezburgh, AR 80624","32900 Ramsey Orchard Apt. 026, Perezburgh, AR 80624",Tampa,32900 Ramsey Orchard Apt. 026,Perezburgh,AR,80624,Townhouse,2.94,1351,1923,2816,8724,Street,3,3,Ranch,5,37.810997,-93.654532,Stravenue,6.83
"0235 Grimes Tunnel, North Christophermouth, NM 94797","0235 Grimes Tunnel, North Christophermouth, NM 94797",Atlanta,0235 Grimes Tunnel,North Christophermouth,NM,94797,Duplex,3.41,1889,2001,3458,4943,Street,4,1,Ranch,3,34.216238,-74.392383,Creek,4.74
"7543 Beck Port Apt. 788, West Jamesburgh, ND 17456","7543 Beck Port Apt. 788, West Jamesburgh, ND 17456", Closed,7543 Beck Port Apt. 788,West Jamesburgh,ND,17456,Duplex,1.11,1402,1969,871,7010,Street,6,4,Ranch,2,36.80956,-83.570881,Junction,3.88
"874 Harris Stravenue Apt. 443, South Timhaven, PR 39846","874 Harris Stravenue Apt. 443, South Timhaven, PR 39846",Dalas,874 Harris Stravenue Apt. 443,South Timhaven,PR,39846,Duplex,3.29,1854,2002,2479,4347,Driveway,3,1,Ranch,5,41.11068,-104.622158,Glen,9.56
"51030 David Loop, Lake Patricia, SD 18673","51030 David Loop, Lake Patricia, SD 18673",Atlanta,51030 David Loop,Lake Patricia,SD,18673,SFR,2.54,1975,1926,3315,8484,Street,3,3,Split,4,38.713085,-93.030034,Turnpike,9.73
"865 Lawson Row, Boyerchester, WY 39426","865 Lawson Row, Boyerchester, WY 39426",Dallas,865 Lawson Row,Boyerchester,WY,39426,Townhouse,1.38,1449,2002,1622,8397,Driveway,4,4,Colonial,1,39.453696,-116.695132,Crossroad,8.99
"763 Mcfarland Burgs, Lake Jacquelinemouth, CT 15323","763 Mcfarland Burgs, Lake Jacquelinemouth, CT 15323",Dalas,763 Mcfarland Burgs,Lake Jacquelinemouth,CT,15323,Single Family Home,3.46,1353,2009,861,8866,Garage,3,3,Ranch,5,36.726598,-86.005379,Radial,8.67
"55213 William Greens Suite 711, North Justin, SD 91818","55213 William Greens Suite 711, North Justin, SD 91818",Dallas,55213 William Greens Suite 711,North Justin,SD,91818,Townhouse,2.24,894,1983,3331,4698,Street,4,4,Ranch,2,41.911915,-89.43467,Squares,7.36
"49851 Nancy Squares, North Carlmouth, FM 29592","49851 Nancy Squares, North Carlmouth, FM 29592",Tampa,49851 Nancy Squares,North Carlmouth,FM,29592,Townhouse,2.32,892,1942,733,7016,Garage,6,1,Split,2,36.21997,-99.293915,Squares,3.7
"7373 William Terrace, West Dawn, CO 93864","7373 William Terrace, West Dawn, CO 93864",Florida,7373 William Terrace,West Dawn,CO,93864,Townhouse,1.04,817,1966,1641,4213,Street,2,3,Ranch,5,39.392507,-74.003693,Ferry,3.52
"75547 Stark Heights, Dawnside, WY 34645","75547 Stark Heights, Dawnside, WY 34645",Dalas,75547 Stark Heights,Dawnside,WY,34645,SFR,1.27,210,1943,1690,5358,Street,3,4,Split,1,33.317107,-102.809276,Extension,7.0
"776 Frank Pike Apt. 499, West Michele, CT 49858","776 Frank Pike Apt. 499, West Michele, CT 49858",Dallas,776 Frank Pike Apt. 499,West Michele,CT,49858,SFR,2.24,1447,2019,892,4894,Street,1,2,Colonial,5,40.014005,-96.746679,Spring,5.8
"81737 Lisa Wells, Port Dale, ID 11781","81737 Lisa Wells, Port Dale, ID 11781",Dallas,81737 Lisa Wells,Port Dale,ID,11781,SFR,1.31,812,1993,868,8977,Street,4,2,Ranch,1,36.771045,-104.201005,Radial,3.77
"159 Johnson Spring Suite 249, Ericksonberg, MS 07034","159 Johnson Spring Suite 249, Ericksonberg, MS 07034", Closed,159 Johnson Spring Suite 249,Ericksonberg,MS,7034,Townhouse,2.65,398,1959,889,8739,Garage,3,1,Colonial,4,35.738164,-92.470889,Mount,6.92
"53164 Toni Points, Anthonyside, AL 50063","53164 Toni Points, Anthonyside, AL 50063",Chicago,53164 Toni Points,Anthonyside,AL,50063,Townhouse,2.25,88,1962,2450,4509,Street,1,1,Ranch,4,39.129086,-89.612288,Island,8.26
"273 Kristin Lodge, Port Brianfurt, FL 41875","273 Kristin Lodge, Port Brianfurt, FL 41875",Dallas,273 Kristin Lodge,Port Brianfurt,FL,41875,Duplex,1.09,1354,1973,1291,8664,Garage,3,4,Colonial,3,37.881348,-82.460355,Path,4.4
"9460 Howard Fort, North Mark, AZ 48333","9460 Howard Fort, North Mark, AZ 48333",Dallas,9460 Howard Fort,North Mark,AZ,48333,Townhouse,1.97,311,1941,1716,9206,Garage,3,3,Ranch,4,34.069517,-115.2003,Forks,8.39
"2819 Williams Meadows Apt. 267, Millerberg, SD 16393","2819 Williams Meadows Apt. 267, Millerberg, SD 16393",Dalas,2819 Williams Meadows Apt. 267,Millerberg,SD,16393,Townhouse,1.69,834,1989,1127,7660,Driveway,6,4,Split,4,35.74046,-89.139443,Mountains,7.29
"19821 Bonnie Fords Apt. 143, Perezborough, TX 53597","19821 Bonnie Fords Apt. 143, Perezborough, TX 53597",Dalas,19821 Bonnie Fords Apt. 143,Perezborough,TX,53597,Condo,2.23,1853,1923,1276,8879,Garage,5,1,Ranch,1,39.704407,-108.882566,Mission,4.44
"74195 Miller Run, West Katherineton, ME 90603","74195 Miller Run, West Katherineton, ME 90603",Dallas,74195 Miller Run,West Katherineton,ME,90603,Condo,2.0,260,1931,2714,3558,Driveway,3,2,Split,2,37.963101,-76.263876,Lodge,7.58
"7698 Cruz Shores, Karenborough, NJ 64616","7698 Cruz Shores, Karenborough, NJ 64616",Dallas,7698 Cruz Shores,Karenborough,NJ,64616,SFR,2.54,1827,2019,2440,6670,Street,6,2,Split,2,33.534112,-91.58947,Rapids,3.13
"678 Daniel Club Apt. 617, Leeport, MO 44459","678 Daniel Club Apt. 617, Leeport, MO 44459",Chicgo,678 Daniel Club Apt. 617,Leeport,MO,44459,SFR,2.65,1622,1938,1689,9152,Street,4,4,Ranch,4,33.604223,-78.076743,Ports,8.43
"289 Sandra Ports Suite 484, New Barry, WA 03764","289 Sandra Ports Suite 484, New Barry, WA 03764",Atlanta,289 Sandra Ports Suite 484,New Barry,WA,3764,Condo,2.27,295,1938,2635,8499,Street,5,3,Colonial,3,35.773738,-89.127333,Wall,9.9
"9256 Kelly Springs, Nicholasview, SC 57648","9256 Kelly Springs, Nicholasview, SC 57648",Chicago,9256 Kelly Springs,Nicholasview,SC,57648,Townhouse,2.13,610,1950,708,7417,Street,5,2,Ranch,2,40.705188,-101.07677,Overpass,5.71
"782 Michael Brook, New Adamport, TX 36766","782 Michael Brook, New Adamport, TX 36766",Chicgo,782 Michael Brook,New Adamport,TX,36766,Single Family Home,2.27,982,1926,1575,7095,Street,3,2,Split,4,35.039907,-94.36161,Turnpike,9.16
"81467 Randy Point, Ramirezview, PR 25667","81467 Randy Point, Ramirezview, PR 25667",Dalas,81467 Randy Point,Ramirezview,PR,25667,Condo,3.03,1857,2001,1824,3672,Driveway,5,4,Ranch,1,35.075354,-113.594597,Ferry,9.8
"47832 Salazar Plain, Donnamouth, NV 66700","47832 Salazar Plain, Donnamouth, NV 66700",Atlanta,47832 Salazar Plain,Donnamouth,NV,66700,Single Family Home,2.84,1856,1936,1252,8414,Driveway,2,4,Colonial,2,36.658643,-74.740322,Fort,7.85
"0480 Daugherty Heights Apt. 648, Smithshire, OK 21786","0480 Daugherty Heights Apt. 648, Smithshire, OK 21786",Tampa,0480 Daugherty Heights Apt. 648,Smithshire,OK,21786,Duplex,3.34,1075,1965,727,4496,Street,6,2,Ranch,3,38.246808,-111.535356,Centers,7.92
"494 Thompson Square Suite 841, Port Phillipmouth, MH 04181","494 Thompson Square Suite 841, Port Phillipmouth, MH 04181",Atlanta,494 Thompson Square Suite 841,Port Phillipmouth,MH,4181,Townhouse,2.5300000000000002,1714,1927,1887,5816,Garage,3,1,Colonial,3,33.919864,-83.43059,Mountain,6.49
"4270 Stephanie Cliffs, Lake Pamelaview, MT 34744","4270 Stephanie Cliffs, Lake Pamelaview, MT 34744",Chicgo,4270 Stephanie Cliffs,Lake Pamelaview,MT,34744,Condo,2.91,348,1957,1403,5774,Garage,1,3,Ranch,4,41.579626,-80.786743,Mission,4.3
"3754 Monroe Mountains, South Jeremy, GU 56681","3754 Monroe Mountains, South Jeremy, GU 56681",Florida,3754 Monroe Mountains,South Jeremy,GU,56681,Duplex,2.94,737,1957,1517,9312,Garage,5,4,Split,5,33.919453,-77.702989,Crest,4.79
"6833 Thomas Turnpike, West Triciahaven, NY 59367","6833 Thomas Turnpike, West Triciahaven, NY 59367",Dallas,6833 Thomas Turnpike,West Triciahaven,NY,59367,Single Family Home,2.08,952,1990,3433,7392,Street,6,3,Ranch,2,36.821336,-106.572907,Brooks,9.62
"127 Michael Points, Duranview, ID 66712","127 Michael Points, Duranview, ID 66712",Chicgo,127 Michael Points,Duranview,ID,66712,Condo,1.65,914,2004,2902,8255,Driveway,5,2,Colonial,2,38.862372,-85.282364,Pines,5.16
"528 Mcbride Islands Suite 596, Lawrencebury, VT 35267","528 Mcbride Islands Suite 596, Lawrencebury, VT 35267",Dalas,528 Mcbride Islands Suite 596,Lawrencebury,VT,35267,Duplex,2.4,1145,1997,3000,9476,Garage,2,4,Colonial,2,34.762358,-91.76733,Drives,6.89
"826 Parker Lodge, Hayeston, PW 38151","826 Parker Lodge, Hayeston, PW 38151",Dallas,826 Parker Lodge,Hayeston,PW,38151,Townhouse,3.22,1449,1976,922,3862,Street,3,1,Split,5,36.53805,-85.698963,Falls,7.16
"865 Bethany Bridge Apt. 855, Lake Eric, UT 46373","865 Bethany Bridge Apt. 855, Lake Eric, UT 46373", Closed,865 Bethany Bridge Apt. 855,Lake Eric,UT,46373,Single Family Home,3.2,713,2009,1864,7798,Garage,5,2,Colonial,1,38.888311,-93.576948,Fork,6.05
